# Selection     : all 
# Volume        : 1.45160395e-05
# Time          	max(p)	max(epsilon)	max(k)
105             	1.31534100e+01	4.90276411e+03	7.07213840e+00
106             	1.29471025e+01	4.90072074e+03	7.05050372e+00
107             	1.28836902e+01	4.89860358e+03	7.02556631e+00
108             	1.28768800e+01	4.89673747e+03	6.99823627e+00
109             	1.28903069e+01	4.89430459e+03	6.96811821e+00
110             	1.29240027e+01	4.89226808e+03	6.93541576e+00
111             	1.29760124e+01	4.88979870e+03	6.89935812e+00
112             	1.30474924e+01	4.88775451e+03	6.85998339e+00
113             	1.30914315e+01	4.88540265e+03	6.81738983e+00
114             	1.32131484e+01	4.88290850e+03	6.77157940e+00
115             	1.33464080e+01	4.88069145e+03	6.72264615e+00
116             	1.34893836e+01	4.87833706e+03	6.67066997e+00
117             	1.36525145e+01	4.87596786e+03	6.61573873e+00
118             	1.38407434e+01	4.87345888e+03	6.55795218e+00
119             	1.40507946e+01	4.87125271e+03	6.49741735e+00
120             	1.42805780e+01	4.86901729e+03	6.43425077e+00
121             	1.45356011e+01	4.86673297e+03	6.36870691e+00
122             	1.48603181e+01	4.86413913e+03	6.30074829e+00
123             	1.50917956e+01	4.86181018e+03	6.23049976e+00
124             	1.54230425e+01	4.85882576e+03	6.15821635e+00
125             	1.57283828e+01	4.85627562e+03	6.08683403e+00
126             	1.60415319e+01	4.85378352e+03	6.01386153e+00
127             	1.63606813e+01	4.85154675e+03	5.93943098e+00
128             	1.66848352e+01	4.84944290e+03	5.86367032e+00
129             	1.70077671e+01	4.84721503e+03	5.78669419e+00
130             	1.73224143e+01	4.84480427e+03	5.70861228e+00
131             	1.76292369e+01	4.84264547e+03	5.62953092e+00
132             	1.79301583e+01	4.84040515e+03	5.54960487e+00
133             	1.82213963e+01	4.83798905e+03	5.47045326e+00
134             	1.85033668e+01	4.83568505e+03	5.39208271e+00
135             	1.87628889e+01	4.83344876e+03	5.31316348e+00
136             	1.90308666e+01	4.83105350e+03	5.23422494e+00
137             	1.92686337e+01	4.82896460e+03	5.20869146e+00
138             	1.94868283e+01	4.82642876e+03	5.23101851e+00
139             	1.96976453e+01	4.82381974e+03	5.25444145e+00
140             	1.98925850e+01	4.82147986e+03	5.27729608e+00
141             	2.00654217e+01	4.81905617e+03	5.30081073e+00
142             	2.02153417e+01	4.81659997e+03	5.32389520e+00
143             	2.03648838e+01	4.81429301e+03	5.34697322e+00
144             	2.04774764e+01	4.81155202e+03	5.36979867e+00
145             	2.05938674e+01	4.80895304e+03	5.39216062e+00
146             	2.06484464e+01	4.80659732e+03	5.41431220e+00
147             	2.07409861e+01	4.80381213e+03	5.43569582e+00
148             	2.07875785e+01	4.80116017e+03	5.45679972e+00
149             	2.07841780e+01	4.79857842e+03	5.47704404e+00
150             	2.08271497e+01	4.79601796e+03	5.49679339e+00
151             	2.07970665e+01	4.79377115e+03	5.51559851e+00
152             	2.07848391e+01	4.79096352e+03	5.53369814e+00
153             	2.07312454e+01	4.78863007e+03	5.55083310e+00
154             	2.06824012e+01	4.78599316e+03	5.56703682e+00
155             	2.05895225e+01	4.78339280e+03	5.58230550e+00
156             	2.05139287e+01	4.78068028e+03	5.59642162e+00
157             	2.03819346e+01	4.77820539e+03	5.60963652e+00
158             	2.02407490e+01	4.77550582e+03	5.62153122e+00
159             	2.01143998e+01	4.77290190e+03	5.63254553e+00
