# Selection     : all 
# Volume        : 1.45160395e-05
# Time          	min(p)	min(epsilon)	min(k)
101             	-8.70229301e+00	2.24393438e+00	1.27202699e-02
102             	-8.70636700e+00	2.19383020e+00	1.23740175e-02
103             	-8.70689857e+00	2.16428921e+00	1.22898327e-02
104             	-8.63739740e+00	2.15900296e+00	1.22701876e-02
105             	-8.65388070e+00	2.15457425e+00	1.22092981e-02
106             	-8.57266750e+00	2.14535652e+00	1.20948518e-02
107             	-8.58953909e+00	2.13143245e+00	1.19516380e-02
108             	-8.53684760e+00	2.11567334e+00	1.16367437e-02
109             	-8.47278395e+00	2.06196902e+00	1.10023586e-02
110             	-8.40129569e+00	1.97644496e+00	1.04569325e-02
111             	-8.32995124e+00	1.92225497e+00	1.02850922e-02
112             	-8.25621345e+00	1.90686977e+00	1.02541606e-02
113             	-8.24943881e+00	1.89945013e+00	1.02077751e-02
114             	-8.12203609e+00	1.89220536e+00	1.01412780e-02
115             	-8.02390377e+00	1.88424332e+00	1.00587111e-02
116             	-7.93028579e+00	1.87459317e+00	9.84537248e-03
117             	-7.82899279e+00	1.83589719e+00	9.36489428e-03
118             	-7.72015436e+00	1.76493293e+00	8.87327908e-03
119             	-7.59623928e+00	1.70772536e+00	8.62095899e-03
120             	-7.45537575e+00	1.67924486e+00	8.50083818e-03
121             	-7.29145549e+00	1.66014212e+00	8.38373417e-03
122             	-7.04668889e+00	1.64432286e+00	8.27441631e-03
123             	-6.93232180e+00	1.62772192e+00	8.10731524e-03
124             	-6.74354772e+00	1.60015691e+00	7.89212315e-03
125             	-6.57927220e+00	1.57215568e+00	7.72314101e-03
126             	-6.41530415e+00	1.54952406e+00	7.55844106e-03
127             	-6.24853227e+00	1.52331820e+00	7.37690432e-03
128             	-6.08270266e+00	1.49871625e+00	7.23446047e-03
129             	-5.92555317e+00	1.47867504e+00	7.08941446e-03
130             	-5.77831910e+00	1.45506496e+00	6.92695538e-03
131             	-5.64408802e+00	1.43250600e+00	6.79469876e-03
132             	-5.51691360e+00	1.41314021e+00	6.65689824e-03
133             	-5.39798373e+00	1.39062373e+00	6.50554391e-03
134             	-5.28454278e+00	1.36899340e+00	6.37212310e-03
135             	-5.21418675e+00	1.34809817e+00	6.21659602e-03
136             	-5.07568219e+00	1.32208782e+00	6.04324892e-03
137             	-5.00441018e+00	1.29629404e+00	5.89561210e-03
138             	-4.93655198e+00	1.27333307e+00	5.75393947e-03
139             	-4.86299349e+00	1.24988923e+00	5.61684759e-03
140             	-4.79462914e+00	1.22923925e+00	5.50180893e-03
141             	-4.73853166e+00	1.21035894e+00	5.37279789e-03
142             	-4.71755500e+00	1.18756005e+00	5.22776527e-03
143             	-4.66266184e+00	1.16464977e+00	5.09674534e-03
144             	-4.66985843e+00	1.14317592e+00	4.96462395e-03
145             	-4.61293577e+00	1.12017218e+00	4.83132665e-03
146             	-4.64721436e+00	1.09828110e+00	4.71117290e-03
147             	-4.61775242e+00	1.07800146e+00	4.59714032e-03
148             	-4.61727559e+00	1.05795731e+00	4.48522224e-03
149             	-4.67707900e+00	1.03898316e+00	4.38416868e-03
150             	-4.64274307e+00	1.02230029e+00	4.29369779e-03
151             	-4.70382057e+00	1.00546980e+00	4.17710892e-03
152             	-4.71473790e+00	9.83025950e-01	4.03673924e-03
