# Residuals     
# Time          	p               	Ux              	Uy              	k               	epsilon         
66              	2.44060768e-02	4.92557495e-03	2.91000559e-02	1.14686867e-02	8.62848815e-03
67              	2.43634416e-02	4.93544445e-03	2.92137704e-02	1.14161017e-02	8.60556510e-03
68              	2.45562977e-02	4.94828496e-03	2.93469726e-02	1.13620656e-02	8.57084025e-03
69              	2.41141217e-02	4.96595548e-03	2.94896844e-02	1.13094379e-02	8.52307314e-03
70              	2.39589620e-02	4.98069390e-03	2.96439481e-02	1.12558229e-02	8.46133901e-03
71              	2.36119431e-02	4.99888724e-03	2.98001866e-02	1.12069907e-02	8.39777776e-03
72              	2.37139913e-02	5.01288716e-03	2.99856434e-02	1.11630083e-02	8.33405806e-03
73              	2.39190332e-02	5.02898060e-03	3.01707638e-02	1.11230319e-02	8.27090784e-03
74              	2.33179038e-02	5.04307069e-03	3.03380437e-02	1.10875070e-02	8.20270389e-03
75              	2.32689008e-02	5.05470934e-03	3.05087318e-02	1.10560562e-02	8.14144206e-03
76              	2.27941698e-02	5.06186742e-03	3.06940309e-02	1.10285671e-02	8.07884915e-03
77              	2.25770348e-02	5.06690070e-03	3.09255529e-02	1.10072132e-02	8.01993720e-03
78              	2.28699579e-02	5.07247430e-03	3.11036859e-02	1.09910541e-02	7.95935773e-03
79              	2.21484011e-02	5.07352875e-03	3.13460228e-02	1.09792382e-02	7.89743400e-03
80              	2.24740323e-02	5.06875087e-03	3.15866685e-02	1.09718575e-02	7.84029084e-03
81              	2.18819852e-02	5.06487258e-03	3.17794950e-02	1.09675924e-02	7.78702701e-03
82              	2.18006426e-02	5.05731533e-03	3.20268355e-02	1.09668501e-02	7.73506765e-03
83              	2.18631538e-02	5.04519582e-03	3.22527407e-02	1.09715802e-02	7.68347829e-03
84              	2.22444238e-02	5.02829799e-03	3.25192900e-02	1.09781919e-02	7.63625898e-03
85              	2.24498398e-02	5.01802465e-03	3.28074745e-02	1.09856078e-02	7.58849283e-03
86              	2.18363538e-02	4.99049888e-03	3.30454730e-02	1.09897736e-02	7.53738882e-03
87              	2.19306714e-02	4.97149463e-03	3.34438142e-02	1.09928302e-02	7.49017179e-03
88              	2.21327673e-02	4.94215713e-03	3.38020037e-02	1.09905577e-02	7.44368621e-03
89              	2.17566220e-02	4.91350955e-03	3.42039873e-02	1.09838391e-02	7.39953405e-03
90              	2.19594250e-02	4.87342329e-03	3.45937987e-02	1.09712319e-02	7.35572111e-03
91              	2.26330040e-02	4.83834312e-03	3.50783768e-02	1.09547849e-02	7.30950631e-03
92              	2.20082652e-02	4.79942436e-03	3.55507523e-02	1.09341377e-02	7.26732154e-03
93              	2.17872124e-02	4.75734363e-03	3.60056629e-02	1.09114480e-02	7.22799492e-03
94              	2.14023547e-02	4.72229136e-03	3.63586673e-02	1.08821837e-02	7.18555052e-03
95              	2.17788757e-02	4.68245222e-03	3.69851337e-02	1.08512271e-02	7.14896054e-03
96              	2.12342896e-02	4.63944862e-03	3.72229488e-02	1.08164921e-02	7.11899544e-03
97              	2.21468063e-02	4.59539105e-03	3.76416201e-02	1.07811749e-02	7.10018088e-03
98              	2.08755716e-02	4.55178723e-03	3.78527135e-02	1.07422892e-02	7.08844312e-03
99              	2.12481324e-02	4.50793965e-03	3.80465453e-02	1.07055031e-02	7.09795223e-03
100             	2.07972050e-02	4.46911851e-03	3.81360087e-02	1.06691664e-02	7.10768467e-03
101             	2.06550832e-02	4.42424353e-03	3.81998929e-02	1.06385174e-02	7.12108890e-03
102             	2.03679341e-02	4.38461183e-03	3.81328670e-02	1.06123516e-02	7.13150499e-03
103             	2.07954865e-02	4.34160548e-03	3.80871783e-02	1.05941235e-02	7.14311490e-03
104             	2.02275568e-02	4.30481534e-03	3.79394407e-02	1.05812609e-02	7.15112723e-03
105             	2.05439571e-02	4.26152488e-03	3.76976282e-02	1.05743965e-02	7.15479908e-03
106             	2.07001885e-02	4.22243695e-03	3.74383307e-02	1.05733000e-02	7.16443253e-03
107             	2.04024225e-02	4.18499367e-03	3.70995666e-02	1.05603508e-02	7.16657064e-03
108             	2.15642595e-02	4.14896813e-03	3.67359977e-02	1.05411004e-02	7.16749138e-03
109             	2.08941277e-02	4.11185797e-03	3.63150089e-02	1.05112261e-02	7.16499212e-03
110             	2.10386086e-02	4.07092508e-03	3.56900362e-02	1.04747668e-02	7.16280055e-03
111             	2.14320962e-02	4.03066190e-03	3.52461137e-02	1.04320693e-02	7.16198349e-03
112             	2.15954125e-02	3.98760771e-03	3.47256159e-02	1.03836472e-02	7.15577551e-03
113             	2.15852536e-02	3.94971977e-03	3.40778989e-02	1.03299698e-02	7.14817781e-03
114             	2.20428075e-02	3.91101994e-03	3.32951064e-02	1.02686945e-02	7.13060263e-03
115             	2.22550038e-02	3.86413306e-03	3.27040055e-02	1.02040366e-02	7.11798905e-03
116             	2.31447158e-02	3.82284846e-03	3.20303073e-02	1.01353627e-02	7.10308049e-03
117             	2.30264739e-02	3.78133048e-03	3.13990460e-02	1.00628619e-02	7.07892055e-03
118             	2.34980716e-02	3.73943164e-03	3.07551147e-02	9.98478874e-03	7.05133271e-03
119             	2.37825359e-02	3.69837714e-03	3.01267204e-02	9.90476013e-03	7.01470283e-03
120             	2.35292694e-02	3.65742189e-03	2.95057106e-02	9.81762716e-03	6.97868764e-03
121             	2.37782868e-02	3.61727358e-03	2.89269686e-02	9.72821952e-03	6.92373399e-03
122             	2.39128947e-02	3.58232177e-03	2.84004749e-02	9.63082302e-03	6.85693196e-03
123             	2.32325295e-02	3.54149093e-03	2.79928874e-02	9.53307950e-03	6.79162280e-03
124             	2.36626580e-02	3.51229636e-03	2.74365217e-02	9.41845339e-03	6.72537894e-03
125             	2.28358342e-02	3.48079742e-03	2.71978987e-02	9.29122349e-03	6.60705803e-03
126             	2.26747448e-02	3.44633047e-03	2.68508114e-02	9.17100255e-03	6.48392523e-03
127             	2.24762274e-02	3.41733133e-03	2.65956110e-02	9.05688154e-03	6.37518778e-03
128             	2.24175284e-02	3.38889036e-03	2.63283044e-02	8.94886530e-03	6.27325724e-03
129             	2.16718855e-02	3.36332638e-03	2.60339615e-02	8.84542677e-03	6.17256986e-03
130             	2.16881556e-02	3.34060528e-03	2.58416903e-02	8.74676332e-03	6.07651656e-03
131             	2.21001786e-02	3.32180650e-03	2.56065373e-02	8.65261998e-03	5.97945269e-03
132             	2.10203974e-02	3.30367343e-03	2.53259681e-02	8.56162372e-03	5.88574565e-03
133             	2.07897017e-02	3.28756483e-03	2.50441412e-02	8.47422006e-03	5.79988015e-03
134             	2.06696790e-02	3.27250492e-03	2.48372719e-02	8.39045115e-03	5.70979933e-03
135             	1.99854092e-02	3.25520163e-03	2.46373219e-02	8.30937959e-03	5.62048994e-03
136             	1.99865916e-02	3.23972336e-03	2.43903757e-02	8.22911270e-03	5.53666904e-03
137             	1.97789014e-02	3.22308558e-03	2.41477527e-02	8.15148804e-03	5.45356811e-03
138             	1.92609164e-02	3.20397255e-03	2.38895463e-02	8.07569527e-03	5.36946002e-03
139             	1.92728466e-02	3.18483266e-03	2.36260724e-02	8.00277064e-03	5.29336462e-03
140             	1.91602099e-02	3.16574622e-03	2.33378833e-02	7.93185556e-03	5.21560102e-03
141             	1.86075643e-02	3.14341866e-03	2.30316866e-02	7.86454662e-03	5.13827094e-03
142             	1.84923448e-02	3.11974932e-03	2.26940306e-02	7.80086733e-03	5.06846155e-03
143             	1.83482308e-02	3.09554066e-03	2.23327890e-02	7.73837330e-03	4.99585974e-03
144             	1.77862780e-02	3.06834235e-03	2.19443845e-02	7.67957650e-03	4.92138762e-03
145             	1.75864382e-02	3.04023357e-03	2.15547570e-02	7.62522166e-03	4.85257216e-03
146             	1.74706675e-02	3.00792532e-03	2.11568064e-02	7.57313863e-03	4.78601758e-03
147             	1.75011449e-02	2.97421284e-03	2.07448898e-02	7.53459591e-03	4.71696055e-03
148             	1.67724070e-02	2.93571489e-03	2.03909196e-02	7.51044048e-03	4.69323316e-03
149             	1.66548115e-02	2.89738014e-03	1.99916565e-02	7.48542725e-03	4.65904215e-03
150             	1.75100834e-02	2.85963256e-03	1.95847387e-02	7.45813219e-03	4.61399220e-03
151             	1.58579193e-02	2.81458678e-03	1.91935842e-02	7.43038437e-03	4.55734998e-03
152             	1.61020538e-02	2.77079239e-03	1.87790820e-02	7.40469887e-03	4.50070506e-03
153             	1.58842338e-02	2.72518077e-03	1.83798964e-02	7.37999990e-03	4.43376614e-03
154             	1.59429491e-02	2.67849429e-03	1.79755054e-02	7.35810151e-03	4.36129376e-03
155             	1.57432789e-02	2.62848211e-03	1.76736198e-02	7.33799676e-03	4.28851528e-03
156             	1.60762745e-02	2.58250459e-03	1.73033498e-02	7.32167584e-03	4.20911782e-03
157             	1.54494439e-02	2.53415317e-03	1.70552150e-02	7.30289990e-03	4.12501349e-03
158             	1.58652959e-02	2.48872072e-03	1.67452558e-02	7.28786772e-03	4.04572415e-03
159             	1.55598025e-02	2.43962844e-03	1.65453641e-02	7.25157060e-03	3.96062480e-03
160             	1.57275154e-02	2.39428015e-03	1.62473552e-02	7.20980869e-03	3.87474716e-03
161             	1.56991168e-02	2.34920244e-03	1.61044591e-02	7.14899807e-03	3.78784293e-03
162             	1.61054620e-02	2.30604712e-03	1.58570508e-02	7.08026195e-03	3.69639016e-03
163             	1.58600505e-02	2.25867394e-03	1.57489022e-02	7.00286352e-03	3.60879775e-03
164             	1.54214251e-02	2.21433248e-03	1.55072407e-02	6.91303367e-03	3.52280164e-03
165             	1.51224725e-02	2.16504772e-03	1.53552295e-02	6.81220101e-03	3.43295245e-03
166             	1.48461087e-02	2.11974158e-03	1.52091161e-02	6.70116252e-03	3.34297263e-03
167             	1.48703607e-02	2.07657760e-03	1.50972947e-02	6.58155107e-03	3.25492538e-03
168             	1.54547431e-02	2.03906710e-03	1.51932129e-02	6.45414827e-03	3.16648336e-03
169             	1.58422541e-02	1.99645148e-03	1.51343131e-02	6.32075537e-03	3.08252157e-03
170             	1.58630150e-02	1.96741507e-03	1.50897250e-02	6.17798178e-03	2.99664672e-03
171             	1.51800412e-02	1.92212179e-03	1.48254058e-02	6.02975672e-03	2.90860468e-03
172             	1.47432523e-02	1.88267020e-03	1.47298461e-02	5.87498796e-03	2.82168083e-03
173             	1.48544334e-02	1.84448729e-03	1.44511043e-02	5.71707536e-03	2.74014848e-03
174             	1.41334606e-02	1.80532077e-03	1.43241864e-02	5.55364874e-03	2.65381865e-03
175             	1.38467269e-02	1.76283332e-03	1.40622355e-02	5.38836377e-03	2.57274797e-03
176             	1.33974280e-02	1.72694988e-03	1.38023086e-02	5.22006202e-03	2.49820887e-03
177             	1.32566815e-02	1.69256349e-03	1.35476469e-02	5.04992852e-03	2.42311676e-03
178             	1.26516507e-02	1.65362638e-03	1.32473340e-02	4.87847051e-03	2.34620167e-03
179             	1.22944978e-02	1.61843445e-03	1.29334167e-02	4.70855616e-03	2.28074221e-03
180             	1.22968909e-02	1.58506561e-03	1.25317837e-02	4.53896534e-03	2.21603272e-03
181             	1.16825298e-02	1.54920153e-03	1.21276055e-02	4.37304960e-03	2.15317561e-03
182             	1.10721241e-02	1.51190971e-03	1.17189557e-02	4.20982653e-03	2.09368845e-03
183             	1.06896706e-02	1.47319949e-03	1.12772704e-02	4.05096995e-03	2.03714774e-03
184             	1.05435372e-02	1.43422829e-03	1.08182527e-02	3.89870429e-03	1.99110003e-03
185             	1.05299156e-02	1.39280323e-03	1.03685151e-02	3.74935754e-03	1.94312120e-03
186             	1.00844837e-02	1.34873236e-03	9.90932730e-03	3.60752068e-03	1.89718227e-03
